Publish Date,Publisher,Title,Written by
2009 Dec,J Neurophysiol,fMRI-guided TMS on cortical eye fields: the frontal but not intraparietal eye fields regulate the coupling between visuospatial attention and eye movements.,Neggers SF et al.
2009 Dec,J Neurophysiol,Visual-manual exploration and posterior parietal cortex in humans.,Disbrow EA et al.
2010 Jul,Cereb Cortex,Synchronization dynamics in response to plaid stimuli in monkey V1.,Neuenschwander S et al.
2009 Sep 9,J Vis,The contributions of central versus peripheral vision to scene gist recognition.,Loschky LC et al.
2010 Aug,Ultraschall Med,Superior cerebellar artery - a potential pitfall in transcranial posterior cerebral artery insonation.,Valdueza J et al.
2010 Mar,Brain Topogr,Wired for her face? Male attentional bias for female faces.,Ioannides AA et al.
2010,Comput Intell Neurosci,Efficient identification of assembly neurons within massively parallel spike trains.,Grün S et al.
2009,Adv Med Sci,Blindness following rupture of hepatic hydatid cyst: a case report.,Yilmaz M et al.
2009,Perception,Mapping a model of object recognition.,Milner AD et al.
2009,Perception,Multiple representations for perceptual categorisation.,Davidoff J et al.
2009,Perception,'Two categorical stages of object recognition': a retrospective.,Warrington E et al.
2009,Perception,Challenges in object recognition: selectivity vs invariance.,Kourtzi Z et al.
2009 Oct,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,[Brain structure abnormality as genetic endophenotype of schizophrenia].,Li T et al.
2010 Feb,J Comput Neurosci,Dimensionally-reduced visual cortical network model predicts network response and connects system- and cellular-level descriptions.,Sornborger AT et al.
2009 Sep 29,Proc Natl Acad Sci U S A,Modulation of neuronal responses during covert search for visual feature conjunctions.,Albright TD et al.
2009 Sep 29,Proc Natl Acad Sci U S A,Segregating the significant from the mundane on a moment-to-moment basis via direct and indirect amygdala contributions.,Pessoa L et al.
2009 Sep 22,Proc Natl Acad Sci U S A,Analogous intermediate shape coding in vision and touch.,Connor CE et al.
2009 Sep 15,Proc Natl Acad Sci U S A,"""Real-time"" obstacle avoidance in the absence of primary visual cortex.",Goodale MA et al.
2009 Oct 20,Proc Natl Acad Sci U S A,Layer-specific network oscillation and spatiotemporal receptive field in the visual cortex.,Dan Y et al.
2009 Oct 20,Proc Natl Acad Sci U S A,Color-tuned neurons are spatially clustered according to color preference within alert macaque posterior inferior temporal cortex.,Tsao DY et al.
2009 Oct 6,Proc Natl Acad Sci U S A,Interareal coordination of columnar architectures during visual cortical development.,Löwel S et al.
2009 Oct 13,Proc Natl Acad Sci U S A,Learning sculpts the spontaneous activity of the resting human brain.,Corbetta M et al.
2009 Oct 20,Proc Natl Acad Sci U S A,Unseen facial and bodily expressions trigger fast emotional reactions.,de Gelder B et al.
2010 Jan,Neurosci Res,Application of caffeine reveals input frequency-dependent determination of signal-traveling routes between primary and secondary visual cortices in rats.,Kato N et al.
2009 Oct 2,Cell,Retinal input instructs alignment of visual topographic maps.,Feldheim DA et al.
2010 Oct,J Cogn Neurosci,Heterogeneous structure in face-selective human occipito-temporal cortex.,Wilson HR et al.
2008 Dec,Med J Malaysia,Visual epilepsy in glioblastoma multiforme.,Loo AV et al.
2009 Nov,Nat Neurosci,Basal forebrain activation enhances cortical coding of natural scenes.,Dan Y et al.
2010 Jan,Neuropsychologia,Hemodynamic change in occipital lobe during visual search: visual attention allocation measured with NIRS.,Suzuki T et al.
2010 Jan 15,Neuroimage,"Comparison of functional and cytoarchitectonic maps of human visual areas V1, V2, V3d, V3v, and V4(v).",Fink GR et al.
2009 Dec 18,Neurosci Lett,Modulation of visual cortex excitability in migraine with aura: effects of valproate therapy.,Brighina F et al.
2010 Feb 22,Vision Res,Low-level sensory plasticity during task-irrelevant perceptual learning: evidence from conventional and double training procedures.,Seitz AR et al.
2009,Depress Anxiety,Two successive phases in the threat-related attentional response of anxious subjects: neural correlates.,Peñacoba C et al.
2009,Med Princ Pract,Concurrent renal cell carcinoma and central nervous system lymphoma in a patient with autosomal dominant polycystic kidney disease.,Yang CW et al.
2009 Dec 1,J Comp Neurol,Cortical connections of the visual pulvinar complex in prosimian galagos (Otolemur garnetti).,Kaas JH et al.
2009 Dec,Histol Histopathol,Visual pathology in animal prion diseases.,Ye X et al.
2010 Jan,Neuropsychopharmacology,Reduced occipital and prefrontal brain volumes in dysbindin-associated schizophrenia.,Spalletta G et al.
2009 Dec,J Neural Eng,Voltage-sensitive-dye imaging of microstimulation-evoked neural activity through intracortical horizontal and callosal connections in cat visual cortex.,Takahashi H et al.
2009 Dec,J Neurophysiol,High-amplitude positive spikes recorded extracellularly in cat visual cortex.,Koch C et al.
2009 Nov,Schizophr Bull,Sensory contributions to impaired emotion processing in schizophrenia.,Javitt DC et al.
2009 Nov,IEEE Trans Neural Netw,Disparity estimation by pooling evidence from energy neurons.,Shi BE et al.
2009 Sep 29,Curr Biol,"Vision: thinking globally, acting locally.",Dakin SC et al.
2009 Oct,Eur J Neurosci,Contrasting early visual cortical activation states causally involved in visual imagery and short-term memory.,Silvanto J et al.
2010 Jun,Cereb Cortex,The number of attentional foci and their precision are dissociated in the posterior parietal cortex.,Jiang YV et al.
2010 Jan,IEEE Trans Image Process,Biologically inspired feature manifold for scene classification.,Tao D et al.
2010 Jan 15,Neuroimage,Bimodal modulation and continuous stimulation in optical imaging to map direction selectivity.,Lesage F et al.
2009 Dec 11,Brain Res,Frontoparietal activity and its structural connectivity in binocular rivalry.,Watts R et al.
2010 Feb,Neuropsychologia,Body schematics: on the role of the body schema in embodied lexical-semantic representations.,Bekkering H et al.
2009 Dec 15,Brain Res,From local inhibition to long-range integration: a functional dissociation of alpha-band synchronization across cortical scales in visuospatial attention.,Ward LM et al.
2009 Dec,Conscious Cogn,How chromatic phenomenality largely overflow its cognitive accessibility.,Beeckmans J et al.
2011 Aug,Neurobiol Aging,Cortical thickness and voxel-based morphometry in posterior cortical atrophy and typical Alzheimer's disease.,Fox NC et al.
2009 Oct,Sci Am,Tasting the light.,Kendrick M et al.
2009 Nov,Pediatr Radiol,Transient cortical blindness following vertebral angiography in a young adult with cerebellar haemangioblastoma.,Vulekovic P et al.
2009 Sep,PLoS Comput Biol,Network-state modulation of power-law frequency-scaling in visual cortical neurons.,Frégnac Y et al.
2010 Feb 1,Neuroimage,The folding fingerprint of visual cortex reveals the timing of human V1 and V2.,Klein SA et al.
2010 Jan 15,Neuroimage,Relating BOLD fMRI and neural oscillations through convolution and optimal linear weighting.,Morris PG et al.
2009 Sep 24,Neuron,Bayesian reconstruction of natural images from human brain activity.,Gallant JL et al.
2009 Sep 24,Neuron,Spatial attention decorrelates intrinsic activity fluctuations in macaque area V4.,Reynolds JH et al.
2010 Apr,Cereb Cortex,Comparative cytoarchitectural analyses of striate and extrastriate areas in hominoids.,Zilles K et al.
2009 Summer,J Neuropsychiatry Clin Neurosci,Neuroimaging correlates of apathy and depression in Alzheimer's disease.,Power BD et al.
2009 Sep 23,J Neurosci,"""Black"" responses dominate macaque primary visual cortex v1.",Shapley RM et al.
2009 Sep,Clin Transl Oncol,Gamma Knife radiosurgery for occipital condyle metastasis.,Maitz A et al.
2010 May,Cortex,Anatomic dissection of the inferior fronto-occipital fasciculus revisited in the lights of brain stimulation data.,Duffau H et al.
2010 Feb 15,J Neurosci Res,p38 mitogen-activated protein kinase and calcium channels mediate signaling in depolarization-induced activation of peroxisome proliferator-activated receptor gamma coactivator-1alpha in neurons.,Wong-Riley MT et al.
2009 Dec,Nucl Med Commun,Cerebral blood flow changes during chanting meditation.,Newberg A et al.
2010 Feb,Synapse,Effect of the environment on the dendritic morphology of the rat auditory cortex.,Atzori M et al.
2009 Oct 28,Neuroreport,Static representations of speed and their neural correlates in human area MT/V5.,Wright MJ et al.
2011 Jan,Schizophr Bull,Global white matter abnormalities in schizophrenia: a multisite diffusion tensor imaging study.,Lim KO et al.
2009 Nov,Brain,When seeing outweighs feeling: a role for prefrontal cortex in passive control of negative affect in blindsight.,Wildgruber D et al.
2010 Jun,Cereb Cortex,The neural basis of categorical face perception: graded representations of face gender in fusiform and orbitofrontal cortices.,Ambady N et al.
2009 Dec 11,Brain Res,The role of parietal cortex during sustained visual spatial attention.,Slotnick SD et al.
2010 Jan,Neural Comput,Visuotactile representation of peripersonal space: a neural network study.,Ursino M et al.
2009 Oct,Anesth Analg,The electrocortical effects of enflurane: experiment and theory.,Hudetz AG et al.
2009 Oct,AJNR Am J Neuroradiol,A new reference line for the brain CT: the tuberculum sellae-occipital protuberance line is parallel to the anterior/posterior commissure line.,Kim BS et al.
2009 Oct,Clin Neurophysiol,High test-retest reliability of checkerboard reversal visual evoked potentials (VEP) over 8 months.,Zumsteg D et al.
2009 Oct,Magn Reson Imaging,Neural activity-induced modulation of BOLD poststimulus undershoot independent of the positive signal.,Uludağ K et al.
2009 Nov,Vision Res,Motion-induced position shifts occur after motion integration.,Pavan A et al.
2009 Aug 25,J Vis,The linearity and selectivity of neuronal responses in awake visual cortex.,Alonso JM et al.
2009 Aug 17,J Vis,"Different masking effects on ""hole"" and ""no-hole"" figures.",Ma Y et al.
2009 Aug 10,J Vis,Ventral extra-striate cortical areas are required for human visual texture segmentation.,Neumann H et al.
2009 Aug 10,J Vis,Looking ahead: the perceived direction of gaze shifts before the eyes move.,Cavanagh P et al.
2009 Jul 31,J Vis,A neurophysiologically plausible population code model for human contrast discrimination.,Henning GB et al.
2009 Jul 14,J Vis,Assessing direction-specific adaptation using the steady-state visual evoked potential: results from EEG source imaging.,Norcia AM et al.
2009 Jun 11,J Vis,The initial representation of individual faces in the right occipito-temporal cortex is holistic: electrophysiological evidence from the composite face illusion.,Rossion B et al.
2009 Jun 8,J Vis,Color-selective attention need not be mediated by spatial attention.,Hillyard SA et al.
2009 Jun 8,J Vis,Long-lasting modulation of feature integration by transcranial magnetic stimulation.,Herzog MH et al.
2009 Nov,J Neurophysiol,Radial biases in the processing of motion and motion-defined contours by human visual cortex.,McDonald JS et al.
2009 Sep 16,J Neurosci,Spatial spread of the local field potential and its laminar variation in visual cortex.,Shapley RM et al.
2009 Sep 16,J Neurosci,Novel hypotheses from a neuropsychological case study: is the visual ventral cortex critical for both category-generic and category-specific form perception?,Goll JC et al.
2010 May,Cereb Cortex,Perceptual expectation evokes category-selective cortical activity.,Yantis S et al.
2010 Jun,Cereb Cortex,Population response to contextual influences in the primary visual cortex.,Slovin H et al.
2009 Mar 25,J Vis,Cross-orientation masking in human color vision.,Mullen KT et al.
2009 Mar 20,J Vis,Uncertainty reveals surround modulation of shape.,te Pas SF et al.
2009 Mar 20,J Vis,Inter-ocular contrast normalization in human visual cortex.,Heeger DJ et al.
2009 Mar 13,J Vis,"Saliency, attention, and visual search: an information theoretic approach.",Tsotsos JK et al.
2009 Mar 13,J Vis,Adaptive pooling of visual motion signals by the human visual system revealed with a novel multi-element stimulus.,Nishida S et al.
2009 Apr 13,J Vis,Early-vision brain responses which predict human visual segmentation and learning.,Sagi D et al.
2009 Apr 13,J Vis,Using fMRI to distinguish components of the multiple object tracking task.,Livingstone MS et al.
2009 May 14,J Vis,Aging alters surround modulation of perceived contrast.,McKendrick AM et al.
2009 May 14,J Vis,Motion streaks in fast motion rivalry cause orientation-selective suppression.,Alais D et al.
2009 May 13,J Vis,Characterizing global and local mechanisms in biological motion perception.,Troje NF et al.
2009 May 13,J Vis,Center-surround patterns emerge as optimal predictors for human saccade targets.,Wichmann FA et al.
2009 May 8,J Vis,"Simple differential latencies modulate, but do not cause the flash-lag effect.",Roseboom W et al.
2010 Feb,Biomed Microdevices,Microtube-based electrode arrays for low invasive extracellular recording with a high signal-to-noise ratio.,Ishida M et al.
